	KO30Cr1	KO30Cr2	KO20Cr1	KO20Cr2	WT30Cr1	WT30Cr2	WT20Cr1	WT20Cr2
YLR150W	26209.0	33978.0	36597.0	29461.0	59245.0	63819.0	28592.0	34819.0
YLR151C	197.0	229.0	237.0	213.0	411.0	330.0	228.0	220.0
YLR152C	247.0	336.0	369.0	345.0	631.0	515.0	519.0	447.0
YLR153C	5767.0	6639.0	4081.0	4359.0	8821.0	7275.0	7988.0	8389.0
YLR154C	357.0	516.0	479.0	328.0	1070.0	942.0	309.0	414.0
YLR163C	905.0	1212.0	1011.0	991.0	1814.0	1628.0	1101.0	1178.0
YLR164W	7.0	13.0	15.0	20.0	25.0	30.0	9.0	7.0
YLR165C	298.0	394.0	434.0	319.0	427.0	358.0	387.0	332.0
YLR166C	1308.0	1849.0	1484.0	1403.0	2089.0	1628.0	1187.0	1591.0
YLR167W	53753.0	67162.0	76233.0	50004.0	68056.0	69345.0	60182.0	64192.0
YLR168C	504.0	682.0	576.0	561.0	789.0	775.0	526.0	533.0
YLR170C	720.0	792.0	874.0	687.0	753.0	650.0	949.0	780.0
YLR172C	2965.0	3544.0	4279.0	3473.0	5302.0	5268.0	3112.0	2948.0
YLR173W	411.0	623.0	819.0	699.0	799.0	759.0	727.0	741.0
YLR175W	4956.0	6067.0	7162.0	7438.0	15705.0	14375.0	5386.0	7494.0
YLR176C	303.0	355.0	239.0	285.0	441.0	345.0	258.0	206.0
YLR177W	354.0	473.0	365.0	361.0	723.0	564.0	314.0	325.0
YLR178C	357.0	526.0	197.0	244.0	852.0	1040.0	167.0	263.0
YLR179C	4104.0	4355.0	4924.0	4338.0	3349.0	3415.0	4730.0	4374.0
YLR180W	2907.0	4022.0	4528.0	3753.0	6783.0	6798.0	3148.0	5371.0
YLR181C	1359.0	1732.0	1465.0	1024.0	3205.0	2938.0	1451.0	1631.0
YLR182W	2263.0	2597.0	2326.0	2354.0	3384.0	2829.0	2193.0	2039.0
YLR183C	1396.0	1636.0	1004.0	1116.0	1880.0	1548.0	1301.0	1216.0
YLR185W	25972.0	34200.0	17929.0	34561.0	15662.0	13507.0	14000.0	12221.0
YLR186W	1008.0	1300.0	1771.0	1237.0	2263.0	2136.0	1268.0	1318.0
YLR187W	939.0	1199.0	1185.0	1001.0	1700.0	1433.0	909.0	968.0
YLR188W	1147.0	1676.0	1473.0	1142.0	2729.0	2623.0	1564.0	1434.0
