"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR377W",2581.30126259267,0.626363516171668,0.11010048007848,5.68901712077183,1.27772659464512e-08,2.3733771495533e-06
"YOL155C",365.888627098381,0.972502473221805,0.172592531016211,5.63467299248575,1.75390822721975e-08,3.14554368612756e-06
"YKL218C",374.553689872401,-0.733850120000285,0.130398015620114,-5.62777061069853,1.8255363235601e-08,3.16487147294536e-06
"YML123C",1588.84540116725,-6.77889424078324,1.21018647670323,-5.60152866626818,2.12469640876444e-08,3.56469226515608e-06
"YGL234W",3695.30945018553,-0.953028561128466,0.171316083041994,-5.56298360437563,2.65200815593596e-08,4.31034200594467e-06
"YKL043W",468.092242318758,-0.817956991263171,0.147598962345201,-5.54175299247804,2.99458526244388e-08,4.71964786362746e-06
"YBL056W",4115.59963739998,-0.38387920396677,0.0694148628039545,-5.53021627444462,3.19836214619031e-08,4.89255338892229e-06
"YOR103C",1200.1795532931,0.871961100172188,0.159337692372827,5.47240949198589,4.43957513032194e-08,6.5972086436584e-06
"YNL095C",322.364402411998,-0.653158387853905,0.119989726284349,-5.44345260281756,5.22576430868207e-08,7.54977782484874e-06
"YOR158W",1037.14178172097,-0.517361203240304,0.0952095654432029,-5.43392043469556,5.51291704592077e-08,7.74937339346863e-06
"YHR021C",10129.0286724262,1.26222583997096,0.234613400004163,5.38002449966013,7.44757025241011e-08,9.9635331526003e-06
"YJL205C",660.087186859774,1.03007423727887,0.19148305018271,5.37945388010054,7.47121309270163e-08,9.9635331526003e-06
"Q0085",1833.56260567249,1.29593294210107,0.2431430469065,5.32991980889102,9.82561421974316e-08,1.2775754889221e-05
"Q0080",526.311643141838,2.56840024037608,0.484050531326616,5.3060580954988,1.12021268304707e-07,1.42103077183606e-05
"YDR248C",411.792124295548,-0.833564924278559,0.157654455359687,-5.28729062795458,1.24141322950892e-07,1.53728338254188e-05
"YDL049C",267.222855546091,-0.841325169173916,0.160158780014794,-5.25306929221241,1.49585226812675e-07,1.80928549919238e-05
"YDR481C",1671.63872457823,-0.767428953449134,0.146269903688116,-5.24666342219984,1.54878469244364e-07,1.83073390577259e-05
"YCL030C",9632.16201058036,-2.44956713686235,0.470797527400927,-5.20301614663393,1.96079825824643e-07,2.2662470535866e-05
"YBR155W",1557.61605653699,-0.405842562629675,0.0781497309645725,-5.19314087995587,2.06775593642109e-07,2.28816992028214e-05
"YGL194C-A",528.009812084143,1.23544450317727,0.237718312421327,5.19709437019557,2.02427613703117e-07,2.28816992028214e-05
"YDR099W",7359.6967103301,-0.914459285759314,0.176560645306889,-5.17929283827573,2.22728599910573e-07,2.41335718361435e-05
"YBR043C",1247.91527308357,-0.516832320390993,0.0998785171611847,-5.17460946638731,2.28388178909436e-07,2.42417738471016e-05
"YKL150W",2354.39074755327,0.944133770955342,0.183232697000137,5.15264898903189,2.56832421577848e-07,2.67157084925277e-05
"YER064C",983.207778139603,0.501851849820448,0.0977429616079783,5.13440396693979,2.83039569997524e-07,2.88644863442573e-05
"YGR204W",9353.65087086385,-0.71973533959361,0.140506273743619,-5.12244272385235,3.01602724965826e-07,3.01660725489858e-05
"YHR094C",2094.20562562661,0.735837327694501,0.143864309959234,5.11480107820355,3.14071760524503e-07,3.08205137073196e-05
"Q0065",907.58452899618,0.966907774217894,0.189574838377543,5.10040141662825,3.38933881357725e-07,3.26443540174357e-05
"YLR185W",21664.5234794957,1.22450841781678,0.240799478158418,5.08517886824984,3.67279770510532e-07,3.47313106622777e-05
"YMR247C",2434.33691304669,0.40175245463078,0.0792125200895159,5.07183023815895,3.94007799061631e-07,3.6593474337849e-05
"YBR222C",694.567408067837,-0.840681476505876,0.166848452552661,-5.03859318827389,4.68966073880424e-07,4.27910973728436e-05
"YCR031C",34915.9420712684,0.833850563752987,0.166251377677761,5.01560092554065,5.28679632629647e-07,4.74079787811517e-05
"YOR222W",3507.99021361926,-0.720037668343754,0.1443066223593,-4.98963704209623,6.0492846296623e-07,5.33259819641926e-05
"YGR282C",16348.0590472974,1.02813906604459,0.207193647878394,4.96221325592004,6.96944125287801e-07,6.04134399270309e-05
"YPR020W",380.399392259669,1.09791107741888,0.221782082069784,4.95040477198434,7.40592883946708e-07,6.31446490066693e-05
"YDR314C",443.016030539102,0.561843363130608,0.113592568316792,4.94612782733915,7.57042568579538e-07,6.35061032126157e-05
"YBR085C-A",1416.54171100964,0.714370635021066,0.144823473018778,4.93269923811619,8.11009848447788e-07,6.69533685996341e-05
"YNL279W",436.597290571885,0.830727457313826,0.170351716325557,4.87654292678937,1.07961202333088e-06,8.77353458334984e-05
"YOL121C",6086.15678945516,0.65273144790318,0.136371260344017,4.78642967921955,1.69774385917356e-06,0.00013584562787018
"YDL232W",578.934188067553,1.55230630734929,0.324579888111923,4.7825092194684,1.73120444485254e-06,0.000136424156328456
