"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR135W",821.284184728891,-0.521975571226111,0.0781978043898093,-6.6750668423388,2.47119506794989e-11,5.87245809783729e-09
"YJL191W",750.202837252531,-0.781508312321631,0.120098621807463,-6.50722131994578,7.65535871173405e-11,1.74009631934546e-08
"YPL271W",617.81925544539,1.22106820331309,0.188628055624859,6.47341774938049,9.5810578919458e-11,2.08707377746219e-08
"YPR149W",3424.91573094491,0.472899094168137,0.0741190050617751,6.38026770291905,1.76778687851958e-10,3.69679592036014e-08
"YDL066W",1649.42645931578,-0.538428697897965,0.0850051782483895,-6.33406939427441,2.38778034937333e-10,4.8012752563553e-08
"YJR109C",1655.35665081482,-1.61352085529077,0.260178654367229,-6.20158813264276,5.58962034552052e-10,1.08231611727338e-07
"YDR077W",15874.7090962681,0.644114610823304,0.104124816333252,6.18598556526442,6.17156551949514e-10,1.15231944771145e-07
"YKR057W",3430.68240643739,0.948296023547573,0.154176204466821,6.15072881594806,7.71276974691284e-10,1.34407867456201e-07
"YLR354C",3889.77352337907,-0.43805804620886,0.0712110459936109,-6.15154629589577,7.67311204876519e-10,1.34407867456201e-07
"YIL156W-B",199.665606093649,0.817159132537143,0.13360012810805,6.11645470785973,9.5680064052036e-10,1.60068948282799e-07
"YKL150W",636.573012957504,0.727236247355741,0.11897190069181,6.11267234638545,9.79764029274978e-10,1.60068948282799e-07
"YJL130C",7454.09862739284,-0.529730236826931,0.087383570258394,-6.06212626996716,1.34333683509648e-09,2.1281712042074e-07
"YBR249C",2210.72556365415,-1.06053898656895,0.175687531422213,-6.03650684817384,1.57486071226935e-09,2.42157994227769e-07
"YEL009C",132.77591766796,-2.03500885359056,0.341247144779648,-5.96344580378722,2.46973393811362e-09,3.68907686527371e-07
"YLR270W",448.963634810417,-0.745150563254369,0.126432606161738,-5.89365817786861,3.77738163367147e-09,5.4855975502318e-07
"YHR094C",2100.21140060874,0.711370596779099,0.121663593382739,5.84702931255049,5.00429348487058e-09,7.07093144294687e-07
"YDL046W",699.770706311254,0.795862186170076,0.136384071033546,5.83544823188567,5.36461515353936e-09,7.38058105860626e-07
"YMR256C",403.612259643798,0.842800204389162,0.145294333060338,5.80064057996787,6.60620633307836e-09,8.85570428444453e-07
"YDR127W",2525.02627162363,-0.86401578060739,0.149728541362024,-5.77054830527142,7.90140105711665e-09,1.03271311816515e-06
"YJL034W",4110.753225393,-0.618663495972682,0.107730437455499,-5.74269919054432,9.317916893698e-09,1.18814803707935e-06
"YDL133C-A",828.529218211038,0.925408433436388,0.161748172493852,5.72129143203497,1.05717379056964e-08,1.31592966121383e-06
"YHR001W-A",327.711821039578,1.04261421995465,0.18309212473372,5.6944787847701,1.23749371595411e-08,1.50456212721118e-06
"YMR145C",1153.72650813459,0.790274593737277,0.140329879139245,5.63154902280725,1.78598193433764e-08,2.12207126198117e-06
"YHR018C",1069.39988775076,-0.890286294347169,0.160193299309816,-5.55757511820357,2.7354827063309e-08,3.17802301971066e-06
"YER002W",427.266956134827,-0.576608553838517,0.10468612526241,-5.50797493357568,3.62985076855606e-08,4.12540430826328e-06
"YLR179C",810.410739546893,-0.41036366943452,0.0746587448009877,-5.49652516297182,3.87347845712674e-08,4.30862667528906e-06
"YDL198C",342.435381834236,-1.07012311563764,0.196066902762351,-5.45794879482907,4.81666509714099e-08,5.04972400870695e-06
"YER086W",1077.92073436701,-0.485375555129125,0.0888743274582389,-5.46136965545194,4.7247508382384e-08,5.04972400870695e-06
"YML091C",218.944348145386,0.640673440343215,0.117393721556659,5.45747619078587,4.82949886066081e-08,5.04972400870695e-06
