	KO30Cr1	KO30Cr2	KO20Cr1	KO20Cr2	WT30Cr1	WT30Cr2	WT20Cr1	WT20Cr2
YBR280C	57.0	58.0	103.0	89.0	97.0	109.0	86.0	53.0
YBR281C	124.0	127.0	205.0	238.0	195.0	243.0	171.0	106.0
YBR282W	82.0	80.0	225.0	233.0	140.0	168.0	170.0	97.0
YBR283C	992.0	956.0	2409.0	2338.0	1413.0	1859.0	1654.0	956.0
YBR284W	7.0	14.0	31.0	35.0	12.0	11.0	22.0	23.0
YBR285W	5.0	5.0	9.0	15.0	8.0	14.0	9.0	4.0
YBR286W	2743.0	2918.0	9860.0	9618.0	3850.0	4857.0	5339.0	2932.0
YBR287W	160.0	165.0	406.0	399.0	216.0	279.0	324.0	157.0
YBR288C	166.0	187.0	453.0	412.0	256.0	341.0	285.0	156.0
YBR289W	173.0	165.0	403.0	373.0	185.0	283.0	258.0	119.0
YBR290W	85.0	88.0	297.0	274.0	123.0	178.0	155.0	96.0
YBR291C	32.0	35.0	106.0	84.0	34.0	50.0	45.0	35.0
YBR293W	9.0	5.0	17.0	17.0	14.0	20.0	13.0	8.0
YBR295W	13.0	8.0	75.0	84.0	21.0	25.0	81.0	37.0
YBR297W	4.0	5.0	21.0	27.0	11.0	4.0	17.0	10.0
YCL001W	308.0	277.0	721.0	810.0	448.0	541.0	412.0	291.0
YCL002C	21.0	17.0	60.0	41.0	16.0	28.0	31.0	16.0
YCL004W	21.0	20.0	56.0	81.0	12.0	29.0	44.0	19.0
YCL005W	28.0	35.0	70.0	60.0	49.0	52.0	34.0	23.0
YCL005W-A	342.0	360.0	865.0	844.0	516.0	656.0	593.0	318.0
YCL008C	69.0	93.0	156.0	154.0	86.0	109.0	105.0	74.0
YCL009C	788.0	821.0	1030.0	1046.0	1339.0	1775.0	1279.0	765.0
YCL010C	58.0	75.0	122.0	125.0	109.0	111.0	85.0	57.0
YCL011C	409.0	435.0	1075.0	1099.0	619.0	806.0	727.0	342.0
YCL012C	103.0	78.0	253.0	305.0	59.0	77.0	88.0	61.0
YCL014W	140.0	178.0	353.0	323.0	261.0	283.0	265.0	117.0
YCL016C	45.0	48.0	91.0	81.0	70.0	91.0	69.0	30.0
YCL017C	374.0	383.0	790.0	728.0	588.0	751.0	644.0	355.0
YCL018W	178.0	191.0	195.0	181.0	361.0	502.0	446.0	228.0
YCL024W	65.0	77.0	174.0	174.0	116.0	99.0	97.0	45.0
YCL025C	119.0	130.0	374.0	435.0	246.0	314.0	732.0	367.0
YCL026C-B	24.0	24.0	73.0	65.0	41.0	64.0	78.0	44.0
YCL027W	181.0	127.0	362.0	343.0	131.0	147.0	181.0	80.0
YCL028W	664.0	716.0	1359.0	1311.0	1146.0	1534.0	1172.0	634.0
YCL029C	62.0	86.0	164.0	173.0	105.0	163.0	145.0	81.0
YCL030C	450.0	427.0	506.0	525.0	1396.0	1881.0	5291.0	2817.0
YCL031C	198.0	223.0	716.0	706.0	312.0	358.0	348.0	240.0
YCL032W	59.0	51.0	121.0	143.0	71.0	84.0	91.0	57.0
YCL033C	95.0	96.0	128.0	132.0	119.0	198.0	149.0	69.0
YCL034W	238.0	196.0	456.0	512.0	290.0	418.0	356.0	185.0
YCL035C	502.0	493.0	869.0	946.0	581.0	691.0	486.0	307.0
YCL036W	34.0	39.0	74.0	74.0	56.0	77.0	55.0	18.0
YCL037C	1082.0	1121.0	2902.0	2699.0	2003.0	2573.0	2037.0	1036.0
YCL038C	80.0	63.0	203.0	216.0	86.0	105.0	164.0	68.0
YCL039W	69.0	85.0	206.0	201.0	125.0	131.0	150.0	86.0
YCL040W	1934.0	2057.0	2680.0	3005.0	2237.0	3083.0	3035.0	1572.0
YCL043C	2554.0	2851.0	7592.0	7181.0	4522.0	6080.0	5990.0	3073.0
YCL044C	123.0	109.0	248.0	220.0	147.0	209.0	186.0	102.0
YCL045C	629.0	656.0	2005.0	1797.0	1059.0	1319.0	1297.0	670.0
YCL047C	49.0	55.0	109.0	114.0	72.0	95.0	96.0	35.0
YCL049C	26.0	47.0	303.0	289.0	57.0	69.0	208.0	122.0
YCL050C	927.0	1038.0	2951.0	2738.0	1545.0	1995.0	2144.0	1280.0
YCL051W	104.0	138.0	191.0	191.0	192.0	197.0	118.0	91.0
YCL052C	78.0	67.0	182.0	202.0	104.0	129.0	132.0	68.0
YCL054W	384.0	389.0	1789.0	1632.0	594.0	744.0	1093.0	572.0
YCL055W	163.0	176.0	576.0	488.0	190.0	237.0	305.0	173.0
YCL056C	8.0	9.0	36.0	36.0	18.0	25.0	21.0	13.0
